2024-01-05 20:00:27,212 INFO    MainThread:15337 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_setup.py:_flush():76] Configure stats pid to 15337
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_setup.py:_flush():76] Loading settings from /home/anto/.config/wandb/settings
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_setup.py:_flush():76] Loading settings from /home/anto/University/Driving-Visual-Attention/wandb/settings
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_init.py:_log_setup():524] Logging user logs to /home/anto/University/Driving-Visual-Attention/wandb/run-20240105_200027-uq5zbhq5/logs/debug.log
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_init.py:_log_setup():525] Logging internal logs to /home/anto/University/Driving-Visual-Attention/wandb/run-20240105_200027-uq5zbhq5/logs/debug-internal.log
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_init.py:init():564] calling init triggers
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2024-01-05 20:00:27,213 INFO    MainThread:15337 [wandb_init.py:init():589] re-initializing run, found existing run on stack: jvk12h58
2024-01-05 20:00:27,215 INFO    MainThread:15337 [wandb_run.py:_finish():1962] finishing run vesuvio-erutta/GazeViT/jvk12h58
2024-01-05 20:00:27,216 ERROR   MainThread:15337 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-01-05 20:00:27,216 INFO    MainThread:15337 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-01-05 20:00:27,216 INFO    MainThread:15337 [wandb_init.py:_jupyter_teardown():452] cleaning up jupyter logic
2024-01-05 20:00:27,216 INFO    MainThread:15337 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-01-05 20:00:27,216 INFO    MainThread:15337 [wandb_run.py:_restore():2185] restore
2024-01-05 20:00:27,216 INFO    MainThread:15337 [wandb_run.py:_restore():2191] restore done
2024-01-05 20:00:32,283 INFO    MainThread:15337 [wandb_run.py:_footer_history_summary_info():3837] rendering history
2024-01-05 20:00:32,284 INFO    MainThread:15337 [wandb_run.py:_footer_history_summary_info():3869] rendering summary
2024-01-05 20:00:32,287 INFO    MainThread:15337 [wandb_run.py:_footer_sync_info():3796] logging synced files
2024-01-05 20:00:32,420 INFO    MainThread:15337 [wandb_init.py:init():614] starting backend
2024-01-05 20:00:32,420 INFO    MainThread:15337 [wandb_init.py:init():618] setting up manager
2024-01-05 20:00:32,421 INFO    MainThread:15337 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-05 20:00:32,421 INFO    MainThread:15337 [wandb_init.py:init():624] backend started and connected
2024-01-05 20:00:32,423 INFO    MainThread:15337 [wandb_run.py:_label_probe_notebook():1294] probe notebook
2024-01-05 20:00:32,423 INFO    MainThread:15337 [wandb_run.py:_label_probe_notebook():1304] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-01-05 20:00:32,423 INFO    MainThread:15337 [wandb_init.py:init():716] updated telemetry
2024-01-05 20:00:32,553 INFO    MainThread:15337 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-05 20:00:33,753 INFO    MainThread:15337 [wandb_run.py:_on_init():2254] communicating current version
2024-01-05 20:00:33,833 INFO    MainThread:15337 [wandb_run.py:_on_init():2263] got version response 
2024-01-05 20:00:33,833 INFO    MainThread:15337 [wandb_init.py:init():800] starting run threads in backend
2024-01-05 20:00:35,961 INFO    MainThread:15337 [wandb_run.py:_console_start():2233] atexit reg
2024-01-05 20:00:35,961 INFO    MainThread:15337 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-05 20:00:35,961 INFO    MainThread:15337 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-05 20:00:35,961 INFO    MainThread:15337 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-05 20:00:35,961 INFO    MainThread:15337 [wandb_init.py:init():841] run started, returning control to user process
